52 90
66 8
27 28
30 84
82 46
95 88
99 35
24 81
39 33
4 84
87 18
11 36
21 30
37 22
47 29
11 45
71 71
86 18
92 63
57 36
63 41
24 21
48 43
57 65
4 28
99 83
33 54
96 57
53 70
7 42
23 42
40 9
87 74
73 9
31 59
10 20
18 61
54 49
90 11
64 41
17 11
14 97
17 65
29 22
75 53
12 60
50 44
12 99
88 4
6 47
42 86
59 40
61 60
2 71
60 41
38 47
38 32
41 25
58 5
30 85
80 39
95 35
39 59
48 24
8 54
35 18
8 42
49 11
94 61
37 83
73 22
84 54
92 14
16 63
61 80
36 82
30 87
50 62
46 100
77 69
24 76
45 97
42 93
45 75
90 56
54 35
97 27
92 91
0 81
99 47
93 2
83 37
32 80
43 91
37 84
6 23
90 87
96 63
14 96
3 50
